# nu      SYN SPN       SSC Sari Esin     Syn flux       IC flux     Total spectrum     Total spectrum with pp
  1.6193631e+26   1.5531004e-40   2.8170944e-39   0.0000000e+00   1.9068636e-40    1.8852253e-40      1.8612275e-40
  2.0945156e+26   1.1553120e-40   2.3081226e-39   0.0000000e+00   1.3333647e-40    1.3182342e-40      1.2975956e-40
  2.7090870e+26   8.5940725e-41   1.8891042e-39   0.0000000e+00   9.1652722e-41    9.0612683e-41      8.8873291e-41
  3.5039856e+26   6.3929123e-41   1.5444042e-39   0.0000000e+00   6.2919441e-41    6.2205457e-41      6.0745950e-41
  4.5321228e+26   4.7555252e-41   1.2610701e-39   0.0000000e+00   4.2394905e-41    4.1913824e-41      4.0715551e-41
  5.8619354e+26   3.5375145e-41   1.0283759e-39   0.0000000e+00   2.8551916e-41    2.8227921e-41      2.7247646e-41
  7.5819407e+26   2.6314672e-41   8.3744414e-40   0.0000000e+00   1.8856717e-41    1.8642739e-41      1.7858787e-41
  9.8066289e+26   1.9574817e-41   6.8093052e-40   0.0000000e+00   1.2449049e-41    1.2307782e-41      1.1683054e-41
  1.2684084e+27   1.4561209e-41   5.5276238e-40   0.0000000e+00   8.0385897e-42    7.9473710e-42      7.4620195e-42
  1.6405840e+27   1.0831714e-41   4.4792116e-40   0.0000000e+00   5.1819696e-42    5.1231667e-42      4.7479859e-42
  2.1219631e+27   8.0574369e-42   3.6226179e-40   0.0000000e+00   3.2590557e-42    3.2220732e-42      2.9401088e-42
  2.7445881e+27   5.9937228e-42   2.9236268e-40   0.0000000e+00   2.0351366e-42    2.0120427e-42      1.8024079e-42
  3.5499034e+27   4.4585782e-42   2.3540114e-40   0.0000000e+00   1.2332008e-42    1.2192069e-42      1.0685518e-42
  4.5915138e+27   3.3166231e-42   1.8905013e-40   0.0000000e+00   7.3539198e-43    7.2704705e-43      6.2094061e-43
  5.9387528e+27   2.4671518e-42   1.5139249e-40   0.0000000e+00   4.2154364e-43    4.1676013e-43      3.4524685e-43
  7.6812979e+27   1.8352516e-42   1.2084992e-40   0.0000000e+00   2.3385936e-43    2.3120562e-43      1.8478636e-43
  9.9351395e+27   1.3651970e-42   9.6124069e-41   0.0000000e+00   1.2227305e-43    1.2088554e-43      9.2639723e-44
  1.2850302e+28   1.0155354e-42   7.6147724e-41   0.0000000e+00   5.9442866e-44    5.8768332e-44      4.2880646e-44
  1.6620829e+28   7.5543102e-43   6.0044434e-41   0.0000000e+00   2.5861643e-44    2.5568175e-44      1.7621886e-44
  2.1497702e+28   5.6194596e-43   5.0601104e-41   0.0000000e+00   9.3250391e-45    9.2192223e-45      5.9484582e-45
  2.7805544e+28   4.1801733e-43   3.9630232e-41   0.0000000e+00   2.3581619e-45    2.3314024e-45      1.3944299e-45
  3.5964229e+28   3.1095248e-43   3.0959754e-41   0.0000000e+00   2.1153530e-46    2.0913488e-46      1.1471220e-46
  4.6516831e+28   2.3130966e-43   2.4130983e-41   0.0000000e+00   0.0000000e+00    0.0000000e+00      0.0000000e+00
  6.0165770e+28   1.7206538e-43   1.8769289e-41   0.0000000e+00   0.0000000e+00    0.0000000e+00      0.0000000e+00
  7.7819572e+28   1.2799507e-43   1.4571130e-41   0.0000000e+00   0.0000000e+00    0.0000000e+00      0.0000000e+00
  1.0065334e+29   9.5212284e-44   1.1292211e-41   0.0000000e+00   0.0000000e+00    0.0000000e+00      0.0000000e+00
